n	N	estimacion	estimacion_se	estimacion_low	estimacion_upp	se	ind	des	mes	CLASE	nivel	periodicidad	trim	orden	indice
186773	118369332.999998	2030935.47885596	112866.385396083	5871591.14110796	6314021.73202778	39182.92292000076	tot_deso	total	0	Urbano	nacional	Trimestre	7	4	303
86182	67342314.9999907	1170983.33513323	86361.3175647308	3343682.55604782	3682217.45475158	28259.440967068094	tot_deso	total	0	Nacional	13_ciudad	Trimestre	7	6	304
215059	153278721.999999	0.644774099398085	0.0019973215658402	0.640859399031229	0.648688799764942	0.0018575938170451705	tgp	ratio	0	Nacional	nacional	Trimestre	7	3	305
28286	34909389.0000008	0.610167399841883	0.00438386263181168	0.601575138612389	0.618759661071377	0.004160718150213029	tgp	ratio	0	Rural	nacional	Trimestre	7	5	306
186773	118369332.999998	0.654165886379835	0.00224032298263943	0.649774909307334	0.658556863452335	0.002013347758738354	tgp	ratio	0	Urbano	nacional	Trimestre	7	4	307
86182	67342314.9999907	0.667016781164612	0.0028698337419854	0.661391931390803	0.672641630938421	0.002483129097695441	tgp	ratio	0	Nacional	13_ciudad	Trimestre	7	6	308
168797	118844697	14072238.1745289	269538.734982566	41688424.5224386	42745004.5247345	73588.3914452718	pffl	total	0	Nacional	nacional	Trimestre	7	3	309
21062	25368238.0000003	3296455.39365668	137681.388195802	9619513.68376693	10159218.6781731	35183.362761841556	pffl	total	0	Rural	nacional	Trimestre	7	5	310
147735	93476458.9999995	10775782.7808722	239755.987905626	31857431.8716719	32797264.8135612	62733.53974081568	pffl	total	0	Urbano	nacional	Trimestre	7	4	311
70559	54471473.9999913	6046028.91574177	180659.367829304	17783994.8186548	18492178.6757957	45086.56736125279	pffl	total	0	Nacional	13_ciudad	Trimestre	7	6	312
212158	153414324.886621	0.582806781193652	0.00209246623383856	0.578705599339048	0.586907963048257	0.0019651127835714328	prob	ratio	0	Nacional	nacional	Trimestre	8	3	313
27696	34927968.0000111	0.56410339772163	0.00448558633813172	0.555311759892684	0.572895035550576	0.004463136763254879	prob	ratio	0	Rural	nacional	Trimestre	8	5	314
184462	118486356.886609	0.587879977777751	0.00236400179760447	0.583246592961404	0.592513362594099	0.002112557802104875	prob	ratio	0	Urbano	nacional	Trimestre	8	4	315
85239	67398314.9999974	0.603356095886738	0.00307489572440636	0.597329325431619	0.609382866341858	0.0026661529465821913	prob	ratio	0	Nacional	13_ciudad	Trimestre	8	6	316
166656	118992175.886618	0.0925368359604708	0.00155234081988996	0.0894942817646098	0.0955793901563319	0.0016416219662795397	tsd	ratio	0	Nacional	nacional	Trimestre	8	3	317
20669	25389299.0000071	0.0713793406903395	0.00307768557518723	0.0653471439972249	0.077411537383454	0.003233395016631912	tsd	ratio	0	Rural	nacional	Trimestre	8	5	318
145987	93602876.8866106	0.0978864037976698	0.00178182389697563	0.0943940677690308	0.101378739826309	0.0018751037253928588	tsd	ratio	0	Urbano	nacional	Trimestre	8	4	319
69734	54534352.9999968	0.0939012078630014	0.00229442870100524	0.0894041321876347	0.0983982835383681	0.0023179744771894993	tsd	ratio	0	Nacional	13_ciudad	Trimestre	8	6	320
212158	153414324.886621	23116482.3385695	372071.637187438	68620195.8467439	70078698.1846734	77944.34865991585	tot_pob	total	0	Nacional	nacional	Trimestre	8	3	321
27696	34927968.0000111	4774063.2772248	173896.649289565	13981356.7175674	14663022.9457813	37771.97125338962	tot_pob	total	0	Rural	nacional	Trimestre	8	5	322
