n	N	estimacion	estimacion_se	estimacion_low	estimacion_upp	se	ind	des	mes	CLASE	nivel	periodicidad
59199	39062389.0000077	14266239.1183214	156638.90130693	13959226.2359863	14573252.0006566	132560.592440532	pffl	total	8	Nacional	nacional	Mensual
24494	17922624.000001	6255816.3198405	107352.39699336	6045399.08995044	6466233.54973056	83056.8927861168	pffl	total	8	Nacional	13_ciudad	Mensual
75382	50605026.0000064	0.572486608301072	0.00357341245454381	0.565482736129717	0.579490480472427	0.003456258416125	prob	ratio	9	Nacional	nacional	Mensual
30356	22249968.9999982	0.596978101099874	0.00514306170435979	0.586897483438294	0.607058718761454	0.00512279322459147	prob	ratio	9	Nacional	13_ciudad	Mensual
58714	39108921.0000045	0.107484384133578	0.00284907485770839	0.101900184905345	0.113068583361811	0.00297950813383367	tsd	ratio	9	Nacional	nacional	Mensual
24543	17941829.9999992	0.104480454548098	0.00399930485629409	0.0966415744682521	0.112319334627945	0.004262291781435	tsd	ratio	9	Nacional	13_ciudad	Mensual
75382	50605026.0000064	22389333.5376072	203860.837965961	21989767.2216496	22788899.8535647	135170.537351815	tot_pob	total	9	Nacional	nacional	Mensual
30356	22249968.9999982	10710879.6036562	144067.41342255	10428501.4025597	10993257.8047528	91912.2851607731	tot_pob	total	9	Nacional	13_ciudad	Mensual
75382	50605026.0000064	2696315.54190211	74945.5894340375	2549422.52720536	2843208.55659886	75841.0645625845	tot_deso	total	9	Nacional	nacional	Mensual
30356	22249968.9999982	1249640.58605248	50290.6436882166	1151068.80525002	1348212.36685493	51516.1011338502	tot_deso	total	9	Nacional	13_ciudad	Mensual
75382	50605026.0000064	0.641430354969557	0.0034342649812856	0.634699211213426	0.648161498725688	0.00320902999047311	tgp	ratio	9	Nacional	nacional	Mensual
30356	22249968.9999982	0.666627662267968	0.00490083657569724	0.657021816065576	0.676233508470359	0.0046824809496585	tgp	ratio	9	Nacional	13_ciudad	Mensual
58714	39108921.0000045	14023271.9204953	153769.415102827	13721883.1918629	14324660.6491276	125501.700384043	pffl	total	9	Nacional	nacional	Mensual
24543	17941829.9999992	5981309.81029043	102859.342576441	5779699.26032708	6182920.36025378	84012.2771770122	pffl	total	9	Nacional	13_ciudad	Mensual
73477	50649421.9999867	0.577363754581348	0.00358738253399867	0.570332498190609	0.584395010972086	0.00351915495044404	prob	ratio	10	Nacional	nacional	Mensual
29072	22267247.9999957	0.592090783239275	0.00533210078518646	0.581639622606901	0.60254194387165	0.00539157247694345	prob	ratio	10	Nacional	13_ciudad	Mensual
57226	39153912.9999887	0.0972102995698745	0.00272121624145102	0.0918767009316992	0.10254389820805	0.00285973710475312	tsd	ratio	10	Nacional	nacional	Mensual
23543	17960470.9999974	0.0989627345087706	0.00405197855556158	0.0910205941448834	0.106904874872658	0.0041346281682582	tsd	ratio	10	Nacional	13_ciudad	Mensual
73477	50649421.9999867	22606050.2162249	207335.272600319	22199673.8549977	23012426.5774521	137788.686763209	tot_pob	total	10	Nacional	nacional	Mensual
29072	22267247.9999957	10634229.3417348	150346.771652997	10339542.8149028	10928915.8685667	96835.1811165419	tot_pob	total	10	Nacional	13_ciudad	Mensual
73477	50649421.9999867	2434167.01870198	70972.1709693856	2295061.82822851	2573272.20917545	72279.9560279431	tot_deso	total	10	Nacional	nacional	Mensual
29072	22267247.9999957	1167978.78995352	50071.0123326806	1069837.32301646	1266120.25689058	49193.0977499449	tot_deso	total	10	Nacional	13_ciudad	Mensual
73477	50649421.9999867	0.639532943614962	0.00345712206876326	0.632756997250396	0.646308889979528	0.00326516758414059	tgp	ratio	10	Nacional	nacional	Mensual
29072	22267247.9999957	0.657121304429599	0.00510090074518176	0.647123306416171	0.667119302443027	0.00502819545022948	tgp	ratio	10	Nacional	13_ciudad	Mensual
